dia,realizada,garch,bnn
77,1.2713472172617912,1.3451378233730793,1.3294207490980625
78,1.3589175976812842,1.344158183783293,1.3222561962902546
79,1.244408804923296,1.3506610877811909,1.3303041644394398
80,1.2735536694526675,1.3455687835812569,1.3308760151267052
81,1.3370047695934775,1.3424323312938211,1.3348682597279549
82,1.3167035952210429,1.344806496053934,1.3356264866888523
83,1.240809354931116,1.3453221507370472,1.3306112587451937
84,1.442872304469347,1.339488960802555,1.3476577028632164
85,1.4066380821168425,1.3560288026928902,1.3583519868552685
86,1.3233317248523235,1.3686189241707325,1.3583516515791416
87,1.3670031912624836,1.3736815936863422,1.366774458438158
88,1.3241144269704817,1.3819718547165394,1.3804109953343868
89,1.1197030171751978,1.3858028128743172,1.3537832722067833
90,1.1032733507454395,1.36722756549716,1.3397112861275673
91,1.1573793552815914,1.3490457646548748,1.3418839313089845
92,1.1110209673643112,1.3363070972263813,1.3309760019183159
93,1.091215331107378,1.3207110948860648,1.3117322511970997
94,1.3456539995968342,1.3044599071145058,1.3183757290244102
95,1.6236691921949389,1.3198738731443882,1.3160601258277893
96,1.5703419968485832,1.3647885620594027,1.3368922285735607
97,1.6872120276093485,1.4024057239294052,1.3301784917712212
98,1.6840385645627973,1.4471186324954033,1.3472624681890013
99,1.4979271404445171,1.4885041117668152,1.3574393466114998
100,1.2454049848020077,1.5007724799215794,1.3614960946142673
101,1.2602765671908855,1.4830528572201729,1.349329687654972
102,1.1849797703325748,1.4674962684512138,1.3547686859965327
103,1.1935683526098728,1.4464989490807056,1.340730655938387
104,1.4982816949486732,1.4277274906635284,1.3230681233108044
105,1.5281427651643755,1.4526680111885073,1.321995798498392
106,1.6575802303850653,1.477747913450003,1.3327615521848202
107,1.7171608097851276,1.5112926438450816,1.3532566465437412
108,1.7137504741549494,1.545876804739237,1.3638625293970108
109,1.358508039265871,1.5777652338147166,1.3991049863398075
110,1.3536586239933968,1.561196707189083,1.412998903542757
111,1.4201511442661285,1.5464260429143906,1.4056237787008286
112,1.3153220154345038,1.5404872596263885,1.4069590158760548
113,1.319963801652193,1.52799341827631,1.4270825311541557
114,1.3376693800091743,1.5166948176920414,1.4282916486263275
115,1.3647492043673992,1.5083010494709015,1.4176931604743004
116,1.5175249986350539,1.5018200129270554,1.4139851741492748
117,1.5869003906846046,1.5172825008630753,1.4172630943357944
118,1.5889827720820906,1.5357711166143417,1.424716766923666
119,1.7486868239939213,1.5531245805323124,1.4251707307994366
120,1.9343537278473377,1.5827106684446337,1.4338607527315619
121,1.5691295824944975,1.628180667757988,1.4761644788086414
122,1.6550051979720592,1.6303554549813273,1.510129403322935
123,1.672964282333851,1.6409149765968325,1.5392420254647734
124,1.490718387067318,1.6514015197753906,1.5555149689316752
125,1.3929123058915138,1.6453011706471443,1.591349430382252
126,1.4113183692097666,1.6290882229804995,1.5616051852703094
127,1.2663122080266476,1.6152537241578102,1.5464621409773827
128,1.280057616531849,1.5901438519358637,1.500170137733221
129,1.404341384768486,1.567706186324358,1.4683578722178936
130,1.2526816874742508,1.5586073137819767,1.43369035795331
131,1.3082722947001457,1.538154799491167,1.4383727870881557
132,1.3038795068860056,1.5225904993712904,1.413041166961193
133,1.2787461653351786,1.5081646665930748,1.3993294537067413
134,1.2624896690249445,1.4936863631010056,1.4250636845827103
135,1.2550489977002144,1.477538663893938,1.4514345675706863
136,1.180447768419981,1.4621000178158283,1.4522919990122318
137,1.1862920038402083,1.4429696835577488,1.447621788829565
138,1.1910214461386206,1.4256664179265501,1.448396872729063
139,1.05985539034009,1.4094467088580132,1.4099125564098358
140,1.051192730665207,1.3842672109603882,1.376741211861372
141,1.079839710146189,1.3605816662311554,1.346412282437086
142,1.081573311239481,1.3410807959735394,1.328818462789059
143,1.2551499158143997,1.3227218575775623,1.3289276137948038
144,1.280234456062317,1.3232929073274136,1.3220818527042866
145,1.286480724811554,1.3251522928476334,1.3236561603844166
146,1.2725579738616943,1.32707254961133,1.3363847322762012
147,1.4323353581130505,1.3270263932645319,1.336784977465868
148,1.3334336876869202,1.3421198353171349,1.3218281976878643
149,1.3037749938666823,1.3445609994232655,1.3177664950489998
150,1.2967872992157938,1.3450041972100735,1.3104897551238537
151,1.3069103099405766,1.345068234950304,1.2921347841620447
152,1.2148997746407986,1.3466082140803337,1.3020814768970015
153,1.117567140609026,1.3382679037749767,1.2955633364617825
154,1.4112833514809608,1.3231711648404598,1.3000006787478924
155,1.6575750336050985,1.3440243527293207,1.297527514398098
156,1.683299094438553,1.3864160887897015,1.349359005689621
157,1.6336837783455849,1.4274372160434723,1.3412554562091827
158,1.6491275280714035,1.4618423394858837,1.3800477050244808
159,1.3607696443796158,1.4946054853498936,1.394084170460701
160,1.1541294306516647,1.4906872622668743,1.3971447944641116
161,1.2470791675150397,1.4664201997220516,1.3636686652898788
162,1.3605970703065395,1.4517982304096222,1.3604416511952877
163,1.3695942051708698,1.4473040960729122,1.331031545996666
164,1.4096587337553501,1.4442677982151506,1.31350701674819
165,1.4863464422523975,1.4437048882246017,1.3314181193709373
166,1.3767728582024577,1.4509911462664604,1.344219334423542
167,1.2399093061685564,1.4478480443358421,1.3634102419018745
168,1.2182486802339556,1.4337675645947456,1.3688215799629688
169,1.2285015545785427,1.4188399724662304,1.37801269069314
170,1.2185955606400967,1.4059374108910563,1.3659224659204483
171,1.2027952075004578,1.3919418677687645,1.3413170166313648
172,1.3989314809441566,1.3786110281944275,1.3372986391186714
173,1.402085181325674,1.3869103603065016,1.342585701495409
174,1.6435671597719193,1.3950607739388945,1.3653393276035786
175,1.5442663617432117,1.4294025301933289,1.3688807375729084
176,1.5329161658883095,1.4534710720181465,1.3986748829483986
177,1.329546757042408,1.4744067192077637,1.429483126848936
178,1.3291232846677303,1.4729862660169601,1.441524438560009
179,1.066968683153391,1.4716615527868273,1.4102734997868538
180,1.1503181606531143,1.4420146867632868,1.399319190531969
181,1.1394606903195381,1.4207230880856514,1.3685183599591255
182,1.1873946152627468,1.400326956063509,1.32468206807971
183,1.192062795162201,1.3853428885340693,1.3027626089751723
184,1.1612430773675442,1.3714194484055042,1.3321436755359173
185,1.1305043287575245,1.3565955683588982,1.3341087475419044
186,1.2026534229516983,1.3404620811343193,1.3350851088762283
187,1.3768008537590506,1.3321871310472486,1.3432102277874949
188,1.3792459480464458,1.3443882577121258,1.3385814800858498
189,1.4754091762006283,1.3558509014546871,1.326661128550768
190,1.4378677681088448,1.3750789128243923,1.3371032662689686
191,1.369958873838186,1.3905333541333675,1.3385829888284206
192,1.5071295760571959,1.398434080183506,1.3467814028263092
193,1.6200510226190092,1.4255668967962265,1.3489422388374808
194,1.6749174892902376,1.4590958692133429,1.3292275555431843
195,1.8014211766421797,1.4931877329945564,1.333667803555727
196,1.9589784741401675,1.5340074524283411,1.3568606600165367
197,1.5998112410306933,1.585640273988247,1.407655477523804
198,1.4866621606051922,1.5900833904743197,1.4402089640498161
199,1.3844718225300312,1.58629821613431,1.4700713008642197
200,1.2359820492565632,1.5751225315034392,1.4735174551606178
201,1.1676290072500706,1.5538086369633675,1.4800854586064816
202,1.1856151185929775,1.5279055945575235,1.4409520477056503
203,1.6197434812784195,1.5050768852233887,1.4123085513710976
204,1.566315405070782,1.535154301673174,1.4042661152780056
205,1.5759900957345963,1.5592713467776778,1.4961498975753784
206,1.4818990789353848,1.5822238847613337,1.4896265603601933
207,1.466535273939371,1.5959770046174528,1.491093598306179
208,1.0260134190320969,1.6074053384363653,1.5072479844093323
209,1.1990628391504288,1.5659739263355732,1.4931048080325127
210,1.233333982527256,1.5429676696658134,1.3970750197768211
211,1.3470154814422133,1.5243794582784176,1.3883197307586672
212,1.3609849661588669,1.5150860138237476,1.3777796737849715
213,1.7440749518573284,1.5076904743909836,1.367932539433241
214,1.578603256493807,1.5430744364857674,1.3681474328041077
215,1.5537420846521857,1.561001855880022,1.3883048854768276
216,1.4474681392312052,1.57534871250391,1.4096404984593394
217,1.4533067494630816,1.5808412618935108,1.4223822578787804
218,1.0766340233385563,1.5857946500182154,1.4254806004464629
219,1.1233134381473064,1.548891607671976,1.4209701120853426
220,1.147583182901144,1.5180836245417595,1.383395064622164
221,1.1895810812711716,1.4918236620724203,1.352617722004652
